record,ms,mode,target_left,target_right,speed_left_mm_s,speed_right_mm_s,pwm_left,pwm_right,raw_left,raw_right,total_left,total_right,enable
D,33685,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33695,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33705,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33715,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33725,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33735,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33745,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33755,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33765,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33775,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33785,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33795,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33805,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33815,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33825,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33835,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33845,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33855,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33865,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33875,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33885,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33895,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33905,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33915,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33925,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33935,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33945,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33955,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33965,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33975,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33985,0,0,0,0,0,0,0,0,0,-1,-11,1
D,33995,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34005,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34015,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34025,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34035,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34045,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34055,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34065,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34075,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34085,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34095,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34105,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34115,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34125,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34135,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34145,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34155,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34165,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34175,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34185,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34195,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34205,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34215,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34225,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34235,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34245,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34255,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34265,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34275,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34285,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34295,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34305,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34315,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34325,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34335,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34345,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34355,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34365,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34375,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34385,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34395,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34405,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34415,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34425,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34435,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34445,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34455,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34465,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34475,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34485,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34495,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34505,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34515,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34525,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34535,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34545,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34555,0,0,0,0,0,0,0,0,0,-1,-11,1
