record,ms,state,mode,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_acc,pitch_dmp,pitch_comp,pitch_kalman,dmp_hz,dt_ms,status
A,264786,SHAKE,ALL,-3068,-24928,18582,-396,156,99,-0.187,-1.521,1.134,-24.146,9.512,6.037,5.635,-0.713,-0.789,-0.745,13,20,OK
A,264810,SHAKE,ALL,1360,-3392,14570,1014,-222,-447,0.083,-0.207,0.889,61.829,-13.537,-27.256,-5.195,-0.713,-1.241,-1.205,13,24,DMP_WAIT
A,264830,SHAKE,ALL,1618,9134,14240,1127,-135,-383,0.099,0.557,0.869,68.720,-8.232,-23.354,-5.463,-0.713,-1.525,-1.498,13,20,DMP_WAIT
A,264849,SHAKE,ALL,480,14756,13778,814,-16,-189,0.029,0.901,0.841,49.634,-0.976,-11.524,-1.362,-0.440,-1.575,-1.551,13,19,OK
A,264874,SHAKE,ALL,324,15602,12662,458,9,-28,0.020,0.952,0.773,27.927,0.549,-1.707,-0.924,-0.440,-1.596,-1.574,13,25,DMP_WAIT
A,264892,SHAKE,ALL,1406,16090,11332,263,0,61,0.086,0.982,0.692,16.037,0.000,3.720,-4.086,-0.440,-1.680,-1.664,13,18,DMP_WAIT
A,264919,SHAKE,ALL,846,15368,11000,78,46,203,0.052,0.938,0.671,4.756,2.805,12.378,-2.563,-0.440,-1.675,-1.664,13,27,DMP_WAIT
A,264938,SHAKE,ALL,-710,11748,12220,-285,39,217,-0.043,0.717,0.746,-17.378,2.378,13.232,2.398,-0.508,-1.585,-1.570,13,19,OK
A,264962,SHAKE,ALL,772,4454,12990,-823,-67,0,0.047,0.272,0.793,-50.183,-4.085,0.000,-3.218,-0.508,-1.759,-1.749,13,24,DMP_WAIT
A,264981,SHAKE,ALL,2106,-8868,14262,-1234,-14,-135,0.129,-0.541,0.870,-75.244,-0.854,-8.232,-7.148,-0.508,-1.919,-1.922,13,19,DMP_WAIT
A,265001,SHAKE,ALL,322,-18818,17284,-1102,152,-168,0.020,-1.149,1.055,-67.195,9.268,-10.244,-0.722,-0.508,-1.751,-1.755,13,20,DMP_WAIT
A,265020,SHAKE,ALL,-1016,-21840,19636,-593,166,-240,-0.062,-1.333,1.198,-36.159,10.122,-14.634,1.981,-0.479,-1.524,-1.524,13,19,OK
A,265045,SHAKE,ALL,322,-19298,17642,52,26,-303,0.020,-1.178,1.077,3.171,1.585,-18.476,-0.706,-0.479,-1.516,-1.517,13,25,DMP_WAIT
A,265064,SHAKE,ALL,1430,-7320,15820,779,18,-335,0.087,-0.447,0.966,47.500,1.098,-20.427,-4.690,-0.479,-1.595,-1.605,13,19,DMP_WAIT
A,265084,SHAKE,ALL,762,5954,15974,1100,131,-256,0.047,0.363,0.975,67.073,7.988,-15.610,-2.559,-0.479,-1.495,-1.510,13,20,DMP_WAIT
A,265103,SHAKE,ALL,-846,12436,15852,869,154,-111,-0.052,0.759,0.968,52.988,9.390,-6.768,2.404,-0.421,-1.278,-1.288,13,19,OK
A,265127,SHAKE,ALL,-324,12482,13828,518,30,0,-0.020,0.762,0.844,31.585,1.829,0.000,0.996,-0.421,-1.235,-1.243,13,24,DMP_WAIT
A,265146,SHAKE,ALL,366,13580,12648,412,-40,12,0.022,0.829,0.772,25.122,-2.439,0.732,-1.130,-0.421,-1.315,-1.323,13,19,DMP_WAIT
A,265165,SHAKE,ALL,1008,13966,11584,336,-14,-25,0.062,0.852,0.707,20.488,-0.854,-1.524,-3.180,-0.421,-1.404,-1.417,13,19,DMP_WAIT
A,265184,SHAKE,ALL,728,14638,12386,160,76,4,0.044,0.893,0.756,9.756,4.634,0.244,-2.174,-0.452,-1.369,-1.386,13,19,OK
A,265208,SHAKE,ALL,-24,8352,13386,-338,73,65,-0.001,0.510,0.817,-20.610,4.451,3.963,0.087,-0.452,-1.280,-1.297,13,24,DMP_WAIT
A,265226,SHAKE,ALL,670,-3204,14252,-863,-6,26,0.041,-0.196,0.870,-52.622,-0.366,1.585,-2.626,-0.452,-1.348,-1.368,13,18,DMP_WAIT
A,265246,SHAKE,ALL,1088,-15108,15728,-1014,17,-35,0.066,-0.922,0.960,-61.829,1.037,-2.134,-2.856,-0.452,-1.395,-1.421,13,20,DMP_WAIT
A,265265,SHAKE,ALL,510,-20126,17298,-640,56,-27,0.031,-1.228,1.056,-39.024,3.415,-1.646,-1.101,-0.479,-1.362,-1.389,13,19,OK
A,265289,SHAKE,ALL,520,-9478,15832,461,0,-227,0.032,-0.578,0.966,28.110,0.000,-13.841,-1.614,-0.479,-1.412,-1.442,13,24,DMP_WAIT
A,265309,SHAKE,ALL,774,944,15204,732,43,-266,0.047,0.058,0.928,44.634,2.622,-16.220,-2.909,-0.479,-1.429,-1.463,13,20,DMP_WAIT
A,265328,SHAKE,ALL,774,944,15204,732,43,-266,0.047,0.058,0.928,44.634,2.622,-16.220,-2.909,-0.421,-1.446,-1.485,13,19,OK
A,265351,SHAKE,ALL,336,12616,14080,596,54,-22,0.021,0.770,0.859,36.341,3.293,-1.341,-1.018,-0.421,-1.406,-1.447,13,23,DMP_WAIT
A,265370,SHAKE,ALL,882,15266,13682,496,44,6,0.054,0.932,0.835,30.244,2.683,0.366,-2.464,-0.421,-1.413,-1.459,13,19,DMP_WAIT
