record,ms,state,mode,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_acc,pitch_dmp,pitch_comp,pitch_kalman,dmp_hz,dt_ms,status
A,53211,STATIC,ALL,450,2950,14616,24,31,-69,0.027,0.180,0.892,1.463,1.890,-4.207,11.406,14.686,11.749,12.039,12,18,DMP_WAIT
A,53232,STATIC,ALL,458,3050,14612,32,32,-69,0.028,0.186,0.892,1.951,1.951,-4.207,11.785,14.680,11.741,12.031,12,21,OK
A,53255,STATIC,ALL,472,3096,14644,37,32,-69,0.029,0.189,0.894,2.256,1.951,-4.207,11.932,14.680,11.743,12.033,12,23,DMP_WAIT
A,53274,STATIC,ALL,406,3162,14614,40,32,-70,0.025,0.193,0.892,2.439,1.951,-4.268,12.204,14.680,11.753,12.043,12,19,DMP_WAIT
A,53293,STATIC,ALL,478,3234,14626,39,31,-70,0.029,0.197,0.893,2.378,1.890,-4.268,12.462,14.680,11.768,12.058,12,19,DMP_WAIT
A,53311,STATIC,ALL,434,3196,14668,36,31,-70,0.026,0.195,0.895,2.195,1.890,-4.268,12.287,14.687,11.775,12.065,12,18,OK
A,53335,STATIC,ALL,482,3258,14706,33,31,-69,0.029,0.199,0.898,2.012,1.890,-4.207,12.485,14.687,11.781,12.073,12,24,DMP_WAIT
A,53355,STATIC,ALL,440,3148,14672,29,31,-69,0.027,0.192,0.896,1.768,1.890,-4.207,12.104,14.687,11.776,12.068,12,20,DMP_WAIT
A,53374,STATIC,ALL,486,3108,14608,24,31,-70,0.030,0.190,0.892,1.463,1.890,-4.268,12.005,14.687,11.764,12.055,12,19,DMP_WAIT
A,53392,STATIC,ALL,470,2976,14610,23,31,-69,0.029,0.182,0.892,1.402,1.890,-4.207,11.508,14.683,11.742,12.032,12,18,OK
