record,ms,state,mode,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_acc,pitch_dmp,pitch_comp,pitch_kalman,dmp_hz,dt_ms,status
A,215066,TILT,ALL,514,-44,14954,5,31,-69,0.031,-0.003,0.913,0.305,1.890,-4.207,-1.969,-0.007,-1.991,-2.022,12,20,DMP_WAIT
A,215086,TILT,ALL,518,242,15022,16,32,-69,0.032,0.015,0.917,0.976,1.951,-4.207,-1.975,-0.006,-1.990,-2.021,12,20,OK
A,215109,TILT,ALL,506,172,14974,7,32,-70,0.031,0.010,0.914,0.427,1.951,-4.268,-1.935,-0.006,-1.988,-2.020,12,23,DMP_WAIT
A,215127,TILT,ALL,478,48,15012,1,32,-69,0.029,0.003,0.916,0.061,1.951,-4.207,-1.824,-0.006,-1.985,-2.016,12,18,DMP_WAIT
A,215146,TILT,ALL,494,152,15004,-4,31,-70,0.030,0.009,0.916,-0.244,1.890,-4.268,-1.886,-0.006,-1.983,-2.014,12,19,DMP_WAIT
A,215172,TILT,ALL,494,-4,14994,-9,32,-69,0.030,0.000,0.915,-0.549,1.951,-4.207,-1.887,-0.006,-1.981,-2.012,12,26,OK
A,215195,TILT,ALL,556,-28,14946,-5,30,-68,0.034,-0.002,0.912,-0.305,1.829,-4.146,-2.130,-0.006,-1.986,-2.017,12,23,DMP_WAIT
A,215214,TILT,ALL,584,124,15084,0,31,-68,0.036,0.008,0.921,0.000,1.890,-4.146,-2.217,-0.006,-1.992,-2.023,12,19,DMP_WAIT
A,215232,TILT,ALL,474,274,14964,-10,32,-69,0.029,0.017,0.913,-0.610,1.951,-4.207,-1.814,-0.006,-1.988,-2.019,12,18,DMP_WAIT
A,215251,TILT,ALL,548,200,15068,-33,32,-70,0.033,0.012,0.920,-2.012,1.951,-4.268,-2.083,-0.005,-1.989,-2.020,12,19,OK
A,215275,TILT,ALL,486,-136,15038,-49,31,-70,0.030,-0.008,0.918,-2.988,1.890,-4.268,-1.851,-0.005,-1.987,-2.018,12,24,DMP_WAIT
A,215294,TILT,ALL,504,-246,15008,-47,31,-70,0.031,-0.015,0.916,-2.866,1.890,-4.268,-1.923,-0.005,-1.987,-2.018,12,19,DMP_WAIT
A,215312,TILT,ALL,518,-128,15004,-36,30,-69,0.032,-0.008,0.916,-2.195,1.829,-4.207,-1.977,-0.005,-1.988,-2.019,12,18,DMP_WAIT
A,215331,TILT,ALL,582,82,15054,-32,31,-68,0.036,0.005,0.919,-1.951,1.890,-4.146,-2.214,-0.004,-1.994,-2.024,12,19,OK
A,215355,TILT,ALL,566,112,15054,-47,31,-69,0.035,0.007,0.919,-2.866,1.890,-4.207,-2.153,-0.004,-1.998,-2.029,12,24,DMP_WAIT
A,215373,TILT,ALL,532,-76,15024,-67,31,-69,0.032,-0.005,0.917,-4.085,1.890,-4.207,-2.028,-0.004,-1.999,-2.030,12,18,DMP_WAIT
A,215392,TILT,ALL,500,-358,15016,-77,31,-69,0.031,-0.022,0.917,-4.695,1.890,-4.207,-1.907,-0.004,-1.998,-2.029,12,19,DMP_WAIT
A,215411,TILT,ALL,540,-544,14940,-70,31,-69,0.033,-0.033,0.912,-4.268,1.890,-4.207,-2.069,-0.001,-2.000,-2.031,12,19,OK
A,215435,TILT,ALL,548,-516,14982,-48,31,-70,0.033,-0.031,0.914,-2.927,1.890,-4.268,-2.094,-0.001,-2.003,-2.034,12,24,DMP_WAIT
